;Nombre;Categoria;Subcategoria;Color;Precio;Venta;Tallas;Referencia;Otros
0;50336;NEW IN;BOTAS;beige;99,90€;Si;36-37-38-39-40-41;50336-C49846;Material principal:Serraje$Altura:5 cm$Material de la suela:Externa$Tipo de tacón:Plano$Tipo de cierre:Sin cierre-Abiertos$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Redonda$Tipo de caña:Alta
1;50336;NEW IN;BOTAS;marron;99,90€;Si;36-37-38-39-40-41;50336-C51437;Material principal:Serraje$Altura:5 cm$Material de la suela:Externa$Tipo de tacón:Plano$Tipo de cierre:Sin cierre-Abiertos$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Redonda$Tipo de caña:Alta
2;58964;NEW IN;BOTAS;marron;99,90€;Si;36-37-38-39-40-41;58964-C51437;Material principal:Piel$Altura:5 cm$Material de la suela:Externa$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Afilada$Tipo de caña:Alta
3;alta NAIARA;NEW IN;BOTAS;marron;99,90€;Si;36-37-38-39-40;51073-C51437;Material principal:Piel$Altura:7.50 cm$Material de la suela:Sintética$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Alta
4;CATIO;NEW IN;BOTINES;beige;89,90€;Si;36-37-38-39-40-41;50331-C49846;Material principal:Piel$Altura:5 cm$Material de la suela:Caucho$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Redonda$Tipo de caña:Media
5;51049;NEW IN;BOTINES;beige;89,90€;Si;36-37-38-39-40;51049-C51546;Material principal:Piel$Altura:5 cm$Material de la suela:Externa$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Redonda$Tipo de caña:Baja
6;58964;NEW IN;BOTAS;beige;99,90€;No;?;58964-C49846;Material principal:Piel$Altura:5 cm$Material de la suela:Externa$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Afilada$Tipo de caña:Alta
7;ANUBIS;Mujer;BOTAS;negro;49,90€;Si;36-37-38-39-40;50258-C27784;Material principal:Sintetico$Altura:3 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Afilada$Tipo de caña:Alta
8;CALME;Mujer;BOTINES;negro;45,90€;Si;36-37-38-39-40-41;58785-C47602;Material principal:Sintetico$Altura:3 cm$Material de la suela:Caucho$Tipo de tacón:Plano$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Media
9;STORM;Mujer;BOTINES;negro;49,90€;Si;36-38-39-40-41;58695-C35856;Material principal:Sintetico$Altura:5 cm$Material de la suela:Caucho$Tipo de tacón:Plano$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Media
10;ALMA;Mujer;BOTINES;negro;45,90€;Si;36-37-38-39-40;50192-C48871;Material principal:Sintetico$Altura:3 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda
11;MIRIANA;Mujer;BOTAS;negro;55,90€;Si;36-37-38-39-40-41;50165-C49874;Material principal:Sintetico$Altura:7.50 cm$Material de la suela:Externa$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Alta
12;NEW CLODE;Mujer;BOTINES;negro;49,90€;Si;38-39-40-41;58440-C47638;Material principal:Sintetico$Altura:5 cm$Material de la suela:De goma$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Afilada$Tipo de caña:Baja
13;ANUBIS;Mujer;BOTAS;marron;49,90€;Si;36-37-38-39-40-41;50258-C27834;Material principal:Sintetico$Altura:3 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Afilada$Tipo de caña:Alta
14;MAKA;Mujer;BOTAS;kaki;59,90€;Si;36-37-38-39-40-41;58577-C50087;Material principal:Sintetico$Altura:5 cm$Material de la suela:Caucho$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Alta
15;serraje MARILYN;Mujer;BOTAS;marron;99,90€;Si;36-37-38-39-40-41;58134-C47011;Material principal:Serraje$Altura:8.50 cm$Material de la suela:Madera$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Afilada$Tipo de caña:Alta
16;FENTA;Mujer;BOTAS;marron;59,90€;Si;36-37-38-39-40-41;50287-C27834;Material principal:Sintetico$Altura:8.50 cm$Material de la suela:De goma$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Alta
17;PERSEAM;Mujer;BOTINES;cuero;49,90€;Si;36-37-38-39-40-41;58706-C27834;Material principal:Sintetico$Altura:3 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Media
18;GLAMI;Mujer;BOTINES;marron;55,90€;Si;36-37-38-39-40-41;58714-C50141;Material principal:Sintetico$Altura:7 cm$Material de la suela:Caucho$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Media
19;COLI;Mujer;DEPORTIVAS;azul;39,90€;Si;36-37-38-39-40-41;69606-C50126;Material principal:Sintetico$Altura:2.50 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Textil$Material de la planta:Sintético$Tipo de puntera:Redonda
20;CAM;Mujer;DEPORTIVAS;negro;39,90€;Si;36-37-38-39-40-41;69705-C13609;Material principal:Sintetico$Altura:2.50 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda
